,language,sentences,Dependency_length,Intervener_Complexity,Sentence_length,Memory_load
19,Italian,"Inoltre in molte zone dei Paesi poveri l’acqua è inquinata, cioè contiene sostanze dannose per la salute delle persone.",57,32,19,12
20,Croatian,"Njujorčanka Sofia Coppola, kći proslavljenog redatelja Francisa Forda Coppole, udala se za svojeg dugogodišnjeg dečka Thomasa Marsa.",53,29,17,8
21,Lithuanian,"16. Pašto paslaugos teikėjai privalo laikytis Lietuvos Respublikos pašto įstatymo, Taisyklių ir kitų pašto paslaugos teikimą reglamentuojančių teisės aktų reikalavimų.",89,63,20,7
22,Italian,Fu arrestato nel 1999 in un processo per mafia dove compariva anche il senatore del Popolo della Libertà Marcello Dell'Utri.,60,33,20,13
23,Italian,La lega nord contro il Governo Monti http://t.co/pjyRz2PG,16,8,8,5
24,Japanese,__,1,1,1,0
25,Portuguese,"Que o meu querido amigo João Carlos Espada tenha acesso aos sabores duma das tradicionais bolsas da erudição ocidental constitui um contributo, não despiciendo, para a melhoria da minha qualidade de vida.",101,55,32,15
26,Greek,"μου λέει , μεταξύ απορίας και ανησυχίας.",16,9,7,3
27,Romanian,"Așijdere au mai ales cîti un boier din boierii mazili și au pus la toati ținuturili ispravnici, și le-au dat ținuturili cu slujbe în mînule lor, și le-au ales răsura să iea giumătate mai mult decît soțiile lor.",174,93,38,20
28,Croatian,"Milčo Mančevski pokušava snimiti ""pravi europski film""",15,9,7,6
29,Japanese,フォーラム90sの後継団体の一つであるアソシエ21には参加しなかった。,42,26,1,9
30,Spanish,Es el organismo responsable de los puertos de la bahía de Algeciras y Tarifa.,34,19,14,7
31,Spanish,¿Conservador?.,4,3,1,2
32,Japanese,"入信した家族を取り戻すための活動をしている“オウム真理教家族の会”関係者によると,西村容疑者は同会には所属せず,個人で活動していたといいます。",133,76,1,18
33,Slovenian,Po letu 1956 jih je nadomestil olimpijski kulturni program.,19,11,9,3
34,Japanese,_______________________________________,0,0,1,0
35,Slovenian,imaš lahko pa na senci je lahko veš jaz sem to na balkonu imela pa je,37,20,16,11
36,Polish,"Prezydenci Polski, Ukrainy i Rumunii spotkali się na roboczych rozmowach w Bukareszcie.",37,21,12,8
37,Lithuanian,"Jeigu dovanas visgi pirksite, rinkitės kuo universalesnes.",19,12,7,6
38,Romanian,"L-am văzut la crâșma Stanii, Unde beau drumeții banii Și voinicii gologanii.",36,21,12,5
39,Japanese,________,7,7,1,3
40,Chinese,甲板長333米，寬60米，高29.8米，總載重30.8萬頓，滿載總排水量35萬頓。,64,34,1,14
41,Lithuanian,"Parodoma, kaip yra pasitelkiama atvira šeimos samprata bei diadinė šeimų tyrimo metodika.",43,21,12,8
42,Finnish,Matti Hagman voitti kauden 1982–1983 tavoin runkosarjan pistepörssin.,21,16,8,3
43,Korean,따라서 같은 문화권에 있으면서 교류가 빈번하였던 중국의 경우와 다소 후대이지만 일본에 전해지는 자료들을 참조하여 이를 살펴보기로 하겠다.,43,36,17,11
44,Ukranian,"Космічний телескоп «Габбл» (англ. Hubble Space Telescope, HST) — американський оптичний телескоп, розташований на навколоземній орбіті 1990 року.",73,37,18,8
45,Romanian,Şi m-au prins și m-au legat Și la temniță m-au dat.,45,20,11,8
46,Lithuanian,"R. Juozaitis sako, kad sutartis dėl elektros energijos tiekimo negali būti sudaryta tiesiogiai su „Inter RAO “, nes ši įmonė nėra registruota Lietuvoje.",112,64,23,15
47,Portuguese,Tchernomirdin está a cozinhar um Governo com o Parlamento.,21,12,9,4
48,Portuguese,"Deuses em ascensão, os criadores de realidades virtuais vão influenciar as sociedades futuras com as imagens que criarem.",52,30,18,13
49,Danish,"Det virkede, som om han havde smurt handskerne ind i brun sæbe.",37,19,12,9
50,Korean,이 때문에 영국 자본주의의 확립을 바탕으로 하여 세계를 무대로 하는 세계사의 성립이 이루어졌다고 보는 시각도 있다.,31,31,16,7
51,Polish,Czy mogę złożyć wspólne zeznanie z byłą żoną?,19,13,8,2
52,Italian,la politica sulla crescita del governo Monti è più criptica degli errori di Windows sul registro eventi.,41,25,17,6
53,Portuguese,"Chirac, o extrovertido; Balladur, o taciturno.",27,13,6,7
54,Chinese,县政府驻香水镇，邮政编码为756400。,19,12,1,6
55,French,"Véritable temple du loisir pour petits et grands, le FunPlanet propose toute une gamme de jeux de tendances diverses.",43,26,19,11
56,Lithuanian,"13. Į Komiteto posėdžius gali būti kviečiami Aplinkos ministerijos, jai pavaldžių ar jos reguliavimo sričiai priskirtų institucijų ir organizacijų specialistai, kitų valstybės ir vietos savivaldos institucijų pareigūnai, nepriklausomi ekspertai, visuomeninių ir nevyriausybinių organizacijų atstovai.",184,119,34,12
57,Russian,Крупные теракты на территории России.,9,6,5,2
58,German,Der deutsche Zubehörhersteller Formac will den internationalen Macintosh-Markt erobern .,19,14,10,4
59,German,"Seither ist das Buzzword Bingo oder Bullshit Bingo , wie es auch genannt wird , ein Klassiker in IT-Kreisen .",85,50,20,10
60,English,"Some scholars believe that between nine and fifteen thousand years ago, a land bridge existed between Asia and North America that we now call Beringia.",108,62,25,24
61,Japanese,奈良県十津川村での検診で発見された患者、山田うめの細胞を病理検索して胃癌が予想以上に進展していると診断する。,73,51,1,16
62,Ukranian,"70 років тому, 27 січня 1945 року браму табору Аушвіц відкрили солдати 100-ї Львівської дивізії з батальйону майбутнього Героя України, полтавчанина Анатолія Шапіро.",69,48,23,9
63,English,"Dekalb County Police Chief Louis Graham...the man who reopened the investigations last year, is mysteriously stepping down.",56,35,17,9
64,Korean,여러분도 잘 아시다시피 매년 각종 이름을 붙인 미인선발대회가 수도 없이 열리고 있습니다.,28,26,12,6
65,German,Der Kurs sank zwischenzeitlich um mehr als zehn Prozent auf elf Euro .,35,27,13,6
66,Romanian,(e) se încadrează în oricare dintre cazurile în care dreptul intern prevede retragerea autorizației.,38,28,14,8
67,Catalan,"En tenia prou d'ordenar-li al seu sol·lícit sequaç, més tonto que fet d'encàrrec per més senyes: ""Gerardo, lluitem !"".",198,84,19,14
68,English,Morning!,1,1,1,0
69,Japanese,_,0,0,1,0
70,Russian,Откуда такая тема?,6,4,3,0
71,Greek,Το περιεχόμενο είναι δύο αράδες όλες κι όλες.,17,13,8,2
72,English,"how can I say , one student who is a man who is crossing his arm and having a chewing gum and looking outside .",70,36,25,17
73,Norwagein,Grensen er nådd.,4,3,3,0
74,Finnish,Ja minä kun olen koko ikäni pyydellyt anteeksi sitä että mummossani virtaa pisara venäläistä verta !,42,24,16,10
75,Russian,"Ведь мы пока - в первой дюжине стран по минимальной нагрузке иждивенцев на работающего, очень мало детей и пока немного стариков.",65,34,21,12
76,Catalan,Durant la investigació portada a terme a l'Audiència Nacional i a la comissió d'investigació del Congrés ha quedat patent el rellevant paper del secretari de la CNMV en el cas Gescartera.,105,50,31,10
77,Japanese,___________________,0,0,1,0
78,Ukranian,"Завжди було легко працювати на різних роботах, бо знав, що у будь-яку хвилю можна вернутися до свого фаху.",79,43,18,13
79,Lithuanian,"Ne tik todėl, kad tai rūsti uošvė per laukus ateina tamstos koneveikti, kam prisirijęs nesvietiškai po stalu nupuolei ir kaip koks smirdas pačią su vaikais glūpais numušt kėsinaisi.",94,55,28,18
80,Italian,La lega non sosterrà il governo monti. Comincio a strapparmi i capelli x il dispiacere.,33,21,15,8
81,Catalan,"A partir d'aquesta i altres denúncies, l'ACA va realitzar una inspecció per a comprovar l'afecció de la construcció i requereix a l'Ajuntament de Moià que consideri les obres de desviament del torrent com a finalitzades per a poder valorar la viabilitat de l'actuació urbanística que s'estava executant.",194,95,47,24
82,Norwagein,"Fra og med 1999 ble opsjonsskattereglene lempet, slik at opsjoner ved beregnet verdi under 600 000 kr ikke ble lønnsbeskattet ved erverv, forutsatt visse vilkår som måtte oppfylles.",123,65,28,15
83,Greek,Κατά την περίοδο της Τουρκοκρατίας αποτέλεσε καταφύγιο των κατοίκων.,17,13,9,4
84,Portuguese,"O de meia-noite é ótimo, mas é em Botafogo e acaba tarde.",32,19,12,8
85,Japanese,____________________,0,0,1,0
86,French,"Ils ont des droits égaux au regard du mariage, durant le mariage et lors de sa dissolution.",71,34,17,8
87,Lithuanian,LIETUVA EUROPOS SĄJUNGOS BIUDŽETO PERŽIŪROS PROCESE: TARP EUROPINIŲ IR NACIONALINIŲ INTERESŲ,30,25,11,5
88,Slovenian,"Obiskujem prvi letnik Gimnazije Bežigrad, po osemletnem šolanju na glasbeni šoli pa še vedno z veseljem sedem za klavir, rada igram košarko in se ukvarjam z raznimi drugimi športi.",126,57,29,15
89,Catalan,Els enfrontaments van causar la fugida d'entre 2.000 i 3.000 refugiats i un policia serbi va morir en una emboscada.,74,42,20,14
90,Spanish,Nos dedicaremos a ello.,7,5,4,1
91,Ukranian,"Засмалених юнаків у синіх і червоних штанцях вона дразнила своїми духовитими десу, червоними підв’язками — Вер була брюнетка — і прозорістю довгих чорних панчіх.",81,42,24,11
92,German,""" Es gibt sicher geringere Investitionen von den neuen Telekom-Firmen , aber die alten Carrier sehen dies als Gelegenheit , ihren Marktanteil auszubauen und investieren in Wirklichkeit sogar mehr . """,98,56,31,16
93,Chinese,刘邦在汉中养精蓄锐后，就派大将韩信进攻关中的“三秦王”。,64,30,1,9
94,Ukranian,Це був по-особливому надзвичайний записник.,19,15,5,3
95,Catalan,"Els dos dirigents van recordar, no obstant, que des de diferents instàncies catalanes es reclama des de fa temps la devolució dels documents confiscats a la Generalitat per les tropes de Franco durant la Guerra Civil per la qual cosa van relativitzar aquesta nova petició.",182,96,45,20
96,Italian,Il licenziante concede a te i diritti qui di seguito elencati a condizione che tu accetti di rispettare i termini e le condizioni di cui alla presente licenza.,77,45,28,13
97,Romanian,"Împăratul moschicescu au ales trei boieri a lui, pe Şefer menistrul şi pre feciorul lui Şeremet şi pre Sava Rogojenschii( şi să temea Sava că-l vor cunoaşte turcii, că mai nainte trăisă cu neguțutorie, dar apoi nu l-au cunoscut) şi i-au trimis la veziriul.",268,102,44,25
98,Chinese,"蓬塔德马塔是委内瑞拉的城镇，由莫纳加斯州负责管辖，位于该国西北部，始建于1940年，海拔高度250米，主要经济活动有石油业、商业和工业，人口约102,000。",236,107,1,20
99,Spanish,Ése es el lado bueno de su gestión.,19,9,8,3
100,Portuguese,Sporting vence em Vila do Conde (4-3),15,10,7,6
101,German,Die Führung des erst vor fünf Monaten durch den Zusammenschluss von Fujitsu und Siemens gegründeten Konzerns übernimmt der bisherige Vize-Chef Tetsuo Urano ( Bild ) .,96,68,26,9
102,Japanese,__,1,1,1,0
103,Portuguese,"Futebol -- Transmissão directa da cerimónia de abertura do «Mundial de Juniores», que se realiza no Estádio das Antas, no Porto.",85,42,21,10
104,Finnish,"Vuosien 1991 ja 1997 välillä hän piti koulua lapsille, joilla oli oppimisvaikeuksia.",31,20,12,6
105,Danish,Derefter vil han læse økonomi eller statsvidenskab og arbejde i udlandet.,26,16,11,4
106,Polish,"Nazywają ją „kuru” albo „śmiejąca się śmierć”, bo umierającym dziwnie twarz przed zgonem wykrzywia.",78,39,14,8
107,Korean,국왕권을 부정하는 것은 아니었다.,4,6,4,1
108,Swedish,För en amerikan är den mest förbryllande frågan denna:,20,14,9,3
109,Italian,"L'ironia e il gioco di parole di molto rumore per nulla, l'affascinante ambientazione rurale di come vi piace, e la vivace baldoria della dodicesima notte completano la sequenza delle grandi commedie di Shakespeare.",138,63,33,16
110,Chinese,隨著A380將投入營運，空中巴士並不無對波音的威脅。,43,23,1,9
111,Italian,"Anche perché, da queste parti, l'aria, come non si stancano di ripetere gli ambientalisti, è inquinata dalle centrali Enel.",106,51,19,11
112,Greek,"Τρίτον, είναι συμβατή με όλα τα εθνικά συστήματα και προσφέρει μηχανισμούς που επιτρέπουν την ομαλή ένταξη νέων ρυθμίσεων σε καθένα από αυτά.",69,34,22,13
113,Spanish,"Es una orquídea epifita cespitosa de gran tamaño, con pseudobulbos fusiformes alargados con 4-7 hojas elíptico - lanceoladas, pecioladas y agudas.",72,36,21,10
114,Dutch,Er werden op die receptie heel wat handen geschud.,26,20,9,3
115,Korean,새벽에 창문을 여니 목덜미를 휘감은 찬 공기가 베일 듯 서늘 했소.,21,20,11,6
116,Danish,- Desuden må jeg passe min bizniz.,16,8,7,2
117,Danish,Dobbeltliv,0,0,1,0
118,Dutch,Leopold (II) (9 april 1835 - 17 december 1909),28,14,9,6
119,Greek,"Έρευνα για την απασχόληση, του ομίλου παροχής υπηρεσιών ανθρώπινου δυναμικού ""Adecco"", έδειξε ότι ""το 49% των ερωτηθέντων ανέφερε ότι τη συγκεκριμένη χρονική περίοδο αναζητά εργασία στο εξωτερικό, με ένα 3% να δηλώνει ότι του έχει ήδη προταθεί εργασία σε άλλη χώρα.",166,84,41,22
120,Croatian,I mislim da je važno.,11,6,5,0
121,Korean,경제적 변화에만 적용되는 것으로 본다.,5,8,5,3
122,Japanese,________________________,0,0,1,0
123,Japanese,______________,13,13,1,3
124,Dutch,Wie was landbouwcommissaris in 1992?,9,6,5,0
125,French,Picotine et Naimport Tequoi veulent vendre des fleurs.,12,9,8,3
126,Lithuanian,"Tiesa, Strepsiadas ir negalėjo laimėti.",13,8,5,3
127,English,There are no other requirements other than we ask that members greet each new member and each new alliance and also feel free to post in any of the forums.,92,47,30,21
128,Italian,Al Milan si decide sempre in maniera collegiale.,15,10,8,3
129,Croatian,Nakon toga se ti podaci obrađuju i dostavlja izvješće naručitelju.,21,15,10,5
130,Polish,Dławiąca wilgoć zmienia nas wszystkich w Bombaju w płazy oddychające wodą zawartą w powietrzu; człowiek uczy się z tym żyć – i to żyć z zadowoleniem – albo wyjeżdża.,103,60,29,16
131,German,"1989 konnten Wissenschaftler von CERN beweisen , dass es solche Neutrinos geben müsse , die damals allerdings noch nicht beobachtet werden konnten .",86,60,23,11
132,Swedish,"Jag är inte så alldeles säker på att jag inte har att vänta mig skäligen dystra tider, sade han, som om han i förtroende tog upp vad som glunkades om honom själv.",127,56,32,22
133,Catalan,"Els objectius de l'ESPO són promocionar la política i opinions dels ports comunitaris davant les autoritats de la Unió Europea (UE) i d'altres institucions internacionals relacionades, i estudiar qualsevol tema relatiu a l'activitat portuària de la UE i informar els seus membres per tal d'adoptar posicions comunes.",202,94,47,18
134,Italian,Chi è l'allenatore dell'Indiana?,14,8,4,0
135,Chinese,這次遊行最大的特色，在於越來越多年輕人上街遊行，而且當中不乏行動激烈的躁少年。,78,49,1,15
136,Catalan,"Ingenus pacifistes habitants de la regió i, per desgràcia, les nostres previsions es van complir en el grau més amarg possible.",87,40,21,11
137,Portuguese,"A cimeira sindical ibérica já não deverá realizar-se este ano, segundo apurou o PÚBLICO.",38,23,14,12
138,Italian,"Se il passaggio cessa di essere necessario, può essere soppresso in qualunque tempo a istanza del proprietario del fondo dominante o del fondo servente.",67,36,24,15
139,German,Auf der CeBIT HOME war aber leider erst der Käpt'n-Blaubär-Bildschirmschoner ( 29 DM ) zu bewundern .,69,31,17,7
140,Slovenian,to so [name:surname],12,7,3,2
141,Lithuanian,"Sustiprėjusi valstybinės kultūros įgyvendinimo politikos ir visuomenės kultūrinių interesų priešprieša nesukūrė saugios, sveikos konkurencinės aplinkos, sudarančios sąlygas kultūrinėms iniciatyvoms, ir netgi priešingai – susilpnino pasitikėjimą valstybės vaidmeniu puoselėjant kultūrą, iškėlė daug klausimų dėl valstybės lėšų panaudojimo kultūros politikai įgyvendinti efektyvumo ir skaidrumo.",168,114,42,16
142,Italian,"Il testo delle decisioni nelle lingue facenti fede, ad eccezione dei dati riservati, è disponibile sul sito http://europa.eu.int/comm/secretariat@general/sgb/state@aids.",69,39,18,7
143,Romanian,"Că n-au cruțat Dumnezău îngerilor carii au greșit, ce i-au aruncat în beznă, legați cu lanțurile întunearicelor, țiindu-i spre păgubitură.",77,37,20,15
144,German,Doch hinter dem Geschäftserfolg steht ein kreativer Kassenwart .,20,13,9,3
145,French,Ce minéral est utile pour calibrer un diffractomètre.,15,11,8,3
146,Polish,"Stwierdzam, że Sejm poprawkę odrzucił.",21,7,5,5
147,Norwagein,Produktet «My Pikin» skal lette den til tider smertefulle fremveksten av en babys første tenner.,47,32,15,11
148,Croatian,"Đinđić, 50, je ubijen iz snajperske puške u trenutku kada je izlazio iz svog automobila ispred zgrade vlade u Beogradu.",61,33,20,10
149,Catalan,El trasllat es podria fer en un termini de dos mesos i posarà fi a gairebé nou anys de polèmica.,59,32,20,8
150,Slovenian,"Kučanu je to uspevalo predvsem s posrednim vplivom, ki ga je imel na politiko zaradi svoje popularnosti, segajoče daleč čez klasično razdelitev levo-desno.",81,36,23,15
151,Russian,"А на вымокшей дорожке, Где ледок светлей слюды, Чьи-то маленькие ножки Отпечатали следы.",86,36,13,8
152,Danish,"Jeg er 42 år, arbejdsløs på 2. år og kontoruddannet.",26,14,10,5
153,Russian,"На их призыв откликнулось множество жителей города; в результате закрылись магазины, офисы, школы и колледжи.",50,35,15,11
154,Lithuanian,"nustatydami veiksnius, kurie sukelia galvos skausmą ir jų vengti;",26,14,9,6
155,Finnish,"Binderupin mukaan suvaitsevaisuuden kohde voi olla muun muassa yksilö, ryhmä tai valtio.",38,24,12,6
156,Norwagein,Flere personer i familien kontakter morens fastlege og ber legen skrive ut mindre piller.,33,21,14,8
157,Croatian,DINKA: Nemam osjećaj da sam išta riješila.,20,11,7,4
158,Lithuanian,"Klausimynų grįžtamumo procentas pakankamai didelis, t. y. grįžo 89,22 proc. visų klausimynų.",43,30,12,7
159,Spanish,"Sin embargo, ha provocado una inusual unanimidad a la hora de valorar las causas del conflicto.",45,24,16,9
160,Polish,– Zakładamy klub muzyczny.,6,5,4,2
161,German,"Bei MPP ist jede Node als eigener Rechner mit eigenem Speicher zu behandeln , wogegen NUMA-Systeme wie herkömmliche UMA- oder Einprozessor-Systeme mit einem einzigen großen Speicherbereich zu programmieren sind .",127,79,30,15
162,Dutch,Arnold Muhren kreeg zelfs een unieke gelegenheid om zijn ploeg aan de leiding te brengen.,51,27,15,8
163,Italian,Quanto è alto il Washington Monument?,11,7,6,1
164,Chinese,1991年，為了更好的接待日益增加的參觀者，政府宣布了為期10年經費8000萬美元的擴建計劃。,82,52,1,15
165,Catalan,Quan va ser elegit Papa va tenir una decepció.,17,11,9,4
166,Portuguese,"Se há um artigo em falta no mercado hoje todo tipo de mercado, diga-se é o otimismo.",54,31,17,10
167,Catalan,La Generalitat donarà suport als regants del futur Canal Segarra-Garrigues a l'hora de finançar les obres de les xarxes de regadiu.,79,36,21,10
168,Italian,@user ristrutturare il debito a 100 anni ci darebbe le risorse per finanziare la crescita. Ma per fare questo si devono eliminare i ladri!,60,36,24,12
169,Spanish,"En el Censo de 2010 tenía una población de 1.855 habitantes y una densidad poblacional de 18,28 personas por km².",54,28,20,8
170,Lithuanian,"Gali netgi būti, kad buvau pagiringas, bet tai nieko nereiškia.",48,18,10,4
171,English,We also own two chickens that are kept in a run behind out garage/barn thing.,50,28,15,8
172,Greek,"« Πώς γίνεται , σε ένα σπίτι που έχει να κατοικηθεί μήνες , αν όχι χρόνια , να υπάρχουν φρέσκιες πατημασιές σ το πάτωμα ; »",92,42,26,15
173,Japanese,_____________,12,12,1,3
174,Greek,"Βάσει της έκθεσης αυτής, οι ευρωπαίοι υπουργοί ζήτησαν από τους προαναφερθέντες φορείς να παράσχουν μια γενική επισκόπηση των συναφών ισχυουσών συμφωνιών, καθώς και περαιτέρω συστάσεις.",89,38,25,12
175,French,"Plus tard, il tente de faire publier une nouvelle édition de ses œuvres, mais même avec son soutien ils ne réussissent pas à s'y intéresser assez pour mener l'entreprise à terme.",126,54,31,19
176,Korean,"1931년 라티는 L-29 개선형의 청사진을 구체화했는데, 주요 개선은 L-29 권총 개발에서 드러난 몇몇 주요 기술적 문제 해결과 파라볼럼탄 사용으로 인한 구조적 결함, 대량 생산 문제 등이었다.",79,62,26,10
177,Dutch,"Grote christen-democratische partijen zijn er ook in Nederland (CDA, Christendemocratisch Appel) en Duitsland (CDU, Christlich Demokratische Union).",66,34,17,10
178,English,"Dr. Ruona, if you read this, thank you for helping me get more healthy.",40,24,14,10
179,Slovenian,"Ksantoni in naftodiantroni so prisotni v manjši količini (manj kot en odstotek), zadnjo skupino pa sestavljajo floroglucinoli, katerih večjo koncentracijo (pet odstotkov) so zasledili v sveži rastlini.",130,62,27,18
180,German,Der Gewinn nahm von 433 auf 453 Millionen DM zu .,26,18,11,5
181,Croatian,"Većinom, nisu.",4,4,2,2
182,Spanish,El suceso se produjo durante un altercado con tres policías que reprochaban a la víctima que no les cediera el paso con su coche en un cruce y que no llevara todos los papeles del vehículo.,119,58,36,15
183,Danish,ANSIGTET UNDER VAND,3,2,3,1
184,Chinese,全市現有林地面積1059萬畝，森林覆蓋率20.4%。,22,16,1,7
185,Finnish,"Nokian liikevoitoksi viime vuoden ensimmäisiltä 8 kuukaudelta laskettiin 3,6 miljardia markkaa .",23,22,12,5
186,German,"Alleine bei der Deutschen Telekom seien das nach Schätzungen der Regulierungsbehörde 500 Millionen DM , schreibt das Münchener Nachrichtenmagazin in seiner neuen Ausgabe .",62,37,24,9
187,Finnish,MTV3:n myöhäisillan elokuva Vuokralainen oli Roman Polanskin paluuelokuva Pariisiin.,17,14,9,3
188,Polish,"Do wszystkich kolb miarowych przenieść pipetą po 1,00 ml roztworu wewnętrznego standardu (4.6), uzupełnić objętość alkoholem etylowym (4.1) i wymieszać.",143,67,20,14
189,Ukranian,Павла Петровича друга книжка ще in spe.,13,8,7,2
190,German,Bezahlen müssen die Kunden die günstigen Preise derweil immer öfter mit Besetztzeichen .,50,27,13,5
191,Catalan,La resta de participants s'han inscrit utilitzant les targetes i les butlletes facilitades pel Departament de Sanitat.,46,28,17,8
192,Russian,"Впрочем, в Минобороны России информацию об отправке в Афганистан российских десантников не подтвердили.",45,30,13,8
193,Polish,Przecież nie żyję na pustyni.,9,6,5,1
194,Ukranian,"«Коли ТЕС готуються до опалювального сезону, то запаси вугілля чи газу дозволяють працювати у форс-мажорних обставинах щонайменше півтора, а то й два місяці, — стверджує Геннадій Рябцев.",105,71,27,21
195,Korean,"예를 들면, 컴퓨터의 복잡한 원리도 인간의 이러한 능력을 체계적으로 탐구하는 논리학에서 온 것이다.",33,26,13,9
196,Dutch,Het lijkt natuurlijk leuk op schetsjes.,14,7,6,1
197,Italian,Mario Monti? Alfano? NO! Saranno I Muppet a salvare il Governo dalla crisi! Voi li votereste? http://t.co/E2L3zfxb,34,22,17,12
198,Catalan,PRIORAT DE SIO.,6,4,3,1
199,Ukranian,Батько оповідав: «30 кілометрів польовими дорогами проїхав.,26,18,7,6
200,Polish,W turnieju kobiet w pool-bilardzie rywalizowano o puchar burmistrza Ciechocinka.,24,18,10,7
201,Swedish,Det är vad jag kan säga om denna typ av verksamhet.,30,13,11,6
202,Italian,Sequestrati e liberati cinque missionari USA.,11,8,6,1
203,Dutch,"Nu was Dangast aan de Jadeboezem eindelijk aan de beurt, eigenlijk zo dicht bij:",49,22,14,9
204,Finnish,"Teollisuusmaiden järjestö OECD arvioi, että Kreikalta menee kokonainen sukupolvi ennen kuin velka on saatu hallintaan.",44,25,15,9
205,Portuguese,"O Classical Music Award é promovido pela «BBC Music Magazine» e pelo jornal «The Independent», e tem o patrocínio da empresa Kenwood.",84,37,22,14
206,Chinese,伊塔蒂亞亞國家公園建於1937年，是巴西最早的國家公園。,48,22,1,7
207,Finnish,Luminance HDR saatavilla nyt myös suomeksi,8,6,6,3
208,French,Son travail sur le scénario du film « Les infiltrés » lui a d'ailleurs valu en 2006 un prix décerné par la WGA Award et surtout l'oscar du meilleur scénario adapté.,79,45,31,19
209,Danish,Stemmerne i huset - hans fars og mors stemmer - blev igen høje og vrede.,24,15,15,9
210,Greek,"Αν αύριο η έρευνα του Στεργιάδη βγάλει κανένα λαυράκι , είναι πρόβλημα του υπαρχηγού να δικαιολογήσει τα αδικαιολόγητα.",43,29,18,10
211,Korean,고대사회에 이르러 농업이 상당한 정도로 발전하였던 것이 사실이지만 식량 확보는 대다수 일반민 (一般民) 들에게는 여전히 어려운 과제였다.,51,38,17,12
212,Portuguese,"Segundo o secretário, US$ 43,5 milhões foram liberados pelo prefeito quatro meses atrás para ampliação ou reforma em dez hospitais e unidades de saúde.",64,42,24,12
213,Greek,"Είχε γενικά καλές σχέσεις με διάφορους ηγέτες της χώρας, με εξαίρεση το 1981 που αντιμετώπισε προβλήματα με τον τότε πρόεδρο Ανουάρ Σαντάτ, ο οποίος τον εκτόπισε σε μοναστήρι εξαιτίας της δρυμείας κριτικής που άσκησε.",117,56,34,20
214,Catalan,"Per aquesta causa, en alguns països europeus, on s'han produït tragèdies semblants a la que ara hem viscut aquí, els exemplars de races com el pit bull, el dog argentí o el rottweiler han quedat formalment prohibits o estan subjectes a una normativa tan rígida com la dels revòlvers.",227,93,49,25
215,Dutch,Dit impliceert dat de bouw van eengezinswoningen moet worden gestimuleerd.,37,19,10,3
216,Dutch,"WAT BIJ KARL RAHNER ""anoniem christendom"" heet en bij Paul Tillich ""latente kerk"", noemt Karl Barth ""profane humaniteit"".",80,44,18,13
217,Danish,Det blev en overvældende succes.,11,5,5,0
218,Greek,"« Όχι , έχουμε πολεμικό συμβούλιο » του απαντάει η Μάνια και του εξηγεί εν συντομία την κατάσταση.",47,27,18,9
